>> myRootFailedAt(:,[3:4,6])
ans =
                  number              root               row in sideByside
   9223372036854775808                    15                  1014
   9223372036854775808                    16                  1015
   9223372036854775808                    17                  1016
   9223372036854775808                    18                  1017
   9223372036854775808                    19                  1018
   9223372036854775808                    20                  1019
   9223372036854775808                    21                  1020
   9223372036854775808                100002                  1021
   9223372036854775808                100003                  1022
   9223372036854775808                100004                  1023
   9223372036854775808                100005                  1024
   9223372036854775808                100006                  1025
   9223372036854775808                100007                  1026
   9223372036854775808                100008                  1027
   9223372036854775808                100009                  1028
   9223372036854775808                100010                  1029
   9223372036854775808                100011                  1030
   9223372036854775808                100012                  1031
   9223372036854775808                100013                  1032
   9223372036854775808                100014                  1033
   9223372036854775808                100015                  1034
   9223372036854775808                100016                  1035
   9223372036854775808                100017                  1036
   9223372036854775808                100018                  1037
   9223372036854775808                100019                  1038
   9223372036854775808                100020                  1039
   9223372036854775808                100021                  1040
   9223372036854775808                200002                  1041
   9223372036854775808                200003                  1042
   9223372036854775808                200004                  1043
   9223372036854775808                200005                  1044
   9223372036854775808                200006                  1045
   9223372036854775808                200007                  1046
   9223372036854775808                200008                  1047
   9223372036854775808                200009                  1048
   9223372036854775808                200010                  1049
   9223372036854775808                200011                  1050
   9223372036854775808                200012                  1051
   9223372036854775808                200013                  1052
   9223372036854775808                200014                  1053
   9223372036854775808                200015                  1054
   9223372036854775808                200016                  1055
   9223372036854775808                200017                  1056
   9223372036854775808                200018                  1057
   9223372036854775808                200019                  1058
   9223372036854775808                200020                  1059
   9223372036854775808                200021                  1060
   9223372036854775808                300002                  1061
   9223372036854775808                300003                  1062
   9223372036854775808                300004                  1063
   9223372036854775808                300005                  1064
   9223372036854775808                300006                  1065
   9223372036854775808                300007                  1066
   9223372036854775808                300008                  1067
   9223372036854775808                300009                  1068
   9223372036854775808                300010                  1069
   9223372036854775808                300011                  1070
   9223372036854775808                300012                  1071
   9223372036854775808                300013                  1072
   9223372036854775808                300014                  1073
   9223372036854775808                300015                  1074
   9223372036854775808                300016                  1075
   9223372036854775808                300017                  1076
   9223372036854775808                300018                  1077
   9223372036854775808                300019                  1078
   9223372036854775808                300020                  1079
   9223372036854775808                300021                  1080
   9223372036854775808                400002                  1081
   9223372036854775808                400003                  1082
   9223372036854775808                400004                  1083
   9223372036854775808                400005                  1084
   9223372036854775808                400006                  1085
   9223372036854775808                400007                  1086
   9223372036854775808                400008                  1087
   9223372036854775808                400009                  1088
   9223372036854775808                400010                  1089
   9223372036854775808                400011                  1090
   9223372036854775808                400012                  1091
   9223372036854775808                400013                  1092
   9223372036854775808                400014                  1093
   9223372036854775808                400015                  1094
   9223372036854775808                400016                  1095
   9223372036854775808                400017                  1096
   9223372036854775808                400018                  1097
   9223372036854775808                400019                  1098
   9223372036854775808                400020                  1099
   9223372036854775808                400021                  1100
   9223372036854775808                500002                  1101
   9223372036854775808                500003                  1102
   9223372036854775808                500004                  1103
   9223372036854775808                500005                  1104
   9223372036854775808                500006                  1105
   9223372036854775808                500007                  1106
   9223372036854775808                500008                  1107
   9223372036854775808                500009                  1108
   9223372036854775808                500010                  1109
   9223372036854775808                500011                  1110
   9223372036854775808                500012                  1111
   9223372036854775808                500013                  1112
   9223372036854775808                500014                  1113
   9223372036854775808                500015                  1114
   9223372036854775808                500016                  1115
   9223372036854775808                500017                  1116
   9223372036854775808                500018                  1117
   9223372036854775808                500019                  1118
   9223372036854775808                500020                  1119
   9223372036854775808                500021                  1120
   9223372036854775808                600002                  1121
   9223372036854775808                600003                  1122
   9223372036854775808                600004                  1123
   9223372036854775808                600005                  1124
   9223372036854775808                600006                  1125
   9223372036854775808                600007                  1126
   9223372036854775808                600008                  1127
   9223372036854775808                600009                  1128
   9223372036854775808                600010                  1129
   9223372036854775808                600011                  1130
   9223372036854775808                600012                  1131
   9223372036854775808                600013                  1132
   9223372036854775808                600014                  1133
   9223372036854775808                600015                  1134
   9223372036854775808                600016                  1135
   9223372036854775808                600017                  1136
   9223372036854775808                600018                  1137
   9223372036854775808                600019                  1138
   9223372036854775808                600020                  1139
   9223372036854775808                600021                  1140
   9223372036854775808                700002                  1141
   9223372036854775808                700003                  1142
   9223372036854775808                700004                  1143
   9223372036854775808                700005                  1144
   9223372036854775808                700006                  1145
   9223372036854775808                700007                  1146
   9223372036854775808                700008                  1147
   9223372036854775808                700009                  1148
   9223372036854775808                700010                  1149
   9223372036854775808                700011                  1150
   9223372036854775808                700012                  1151
   9223372036854775808                700013                  1152
   9223372036854775808                700014                  1153
   9223372036854775808                700015                  1154
   9223372036854775808                700016                  1155
   9223372036854775808                700017                  1156
   9223372036854775808                700018                  1157
   9223372036854775808                700019                  1158
   9223372036854775808                700020                  1159
   9223372036854775808                700021                  1160
   9223372036854775808                800002                  1161
   9223372036854775808                800003                  1162
   9223372036854775808                800004                  1163
   9223372036854775808                800005                  1164
   9223372036854775808                800006                  1165
   9223372036854775808                800007                  1166
   9223372036854775808                800008                  1167
   9223372036854775808                800009                  1168
   9223372036854775808                800010                  1169
   9223372036854775808                800011                  1170
   9223372036854775808                800012                  1171
   9223372036854775808                800013                  1172
   9223372036854775808                800014                  1173
   9223372036854775808                800015                  1174
   9223372036854775808                800016                  1175
   9223372036854775808                800017                  1176
   9223372036854775808                800018                  1177
   9223372036854775808                800019                  1178
   9223372036854775808                800020                  1179
   9223372036854775808                800021                  1180
   9223372036854775808                900002                  1181
